ID,Date,Duration,Language,Length,Transcription
SA_0095,2025-10-29,10,PT,short,Real Estate Mogul interessado em Alta Costura. Pronto para comprar.
SA_0096,2026-01-02,44,AR,medium,VC مهتم بـ شامبانيا معتقة نادرة. هدية مؤسسية.
SA_0097,2025-02-18,22,ZH,short,CEO要求私下查看高级定制。正在与竞争对手比较。
SA_0098,2025-09-22,76,EN,long,Client (VC) looking at Haute Couture. Follow-up after gala.
SA_0099,2025-06-27,11,NL,short,Klant (Art Collector) zoekt Zeldzame vintage champagne. Zakelijk cadeau.
SA_0100,2025-10-31,61,FR,long,Le client (Real Estate Mogul) recherche Montre édition limitée. A demandé une visite privée.
SA_0101,2025-04-05,56,KO,medium,VC님이 희귀 빈티지 샴페인 프라이빗 뷰잉을 요청함. 송금 대기 중.
SA_0102,2025-02-06,72,DE,long,Real Estate Mogul bat um eine private Besichtigung für Seltener Jahrgangschampagner. Benötigt individuelles Monogramm.
SA_0103,2025-10-28,88,ES,long,VC solicitó una vista privada para Bolso de piel exótica. Necesita monogramma personalizado.
SA_0104,2025-04-26,25,KO,short,Tech Founder님이 오트쿠튀르에 관심을 보임. 맞춤형 이니셜 필요.
SA_0105,2025-09-23,28,NL,short,Klant (Real Estate Mogul) zoekt Gelimiteerd horloge. Follow-up na gala.
SA_0106,2025-10-28,42,EN,medium,VC interested in Fine Jewelry. Corporate gifting.
SA_0107,2025-01-25,19,PT,short,Cliente (VIP Client) procura Alta Joalharia. Presente corporativo.
SA_0108,2025-07-23,79,KO,long,고객(VIP Client)이 파인 주얼리를 찾고 있음. 송금 대기 중.
SA_0109,2025-09-30,80,ZH,long,VIP Client对限量版手表感兴趣。电汇待定.
SA_0110,2025-01-31,21,EN,short,Tech Founder interested in Exotic Skin Handbag. Needs custom monogram.
SA_0111,2025-01-14,32,AR,medium,Philanthropist طلب عرضًا خاصًا لـ صندوق مخصص. جاهز للشراء.
SA_0112,2025-09-19,11,KO,short,VC님이 희귀 빈티지 샴페인 프라이빗 뷰잉을 요청함. 맞춤형 이니셜 필요.
SA_0113,2025-04-28,22,AR,short,Tech Founder طلب عرضًا خاصًا لـ صندوق مخصص. مقارنة مع المنافسين.
SA_0114,2025-03-08,29,IT,short,Cliente (VC) cerca Orologio in edizione limitata. Bonifico in sospeso.
SA_0115,2025-05-15,71,FR,long,CEO intéressé par Montre édition limitée. Cadeau d'entreprise.
SA_0116,2025-09-13,89,RU,long,Клиент (CEO) ищет Редкое винтажное шампанское. Готов к покупке.
SA_0117,2025-06-06,76,PT,long,VC solicitó uma visualização privada para Alta Joalharia. Acompanhamento após a gala.
SA_0118,2025-03-23,57,FR,medium,Le client (VIP Client) recherche Sac en peau exotique. Compare avec la concurrence.
SA_0119,2026-01-08,67,EN,long,Tech Founder interested in Haute Couture. Corporate gifting.
SA_0120,2025-02-03,60,DE,medium,Kunde (CEO) sucht Seltener Jahrgangschampagner. Benötigt individuelles Monogramm.
SA_0121,2025-01-18,21,FR,short,Art Collector intéressé par Haute Couture. A demandé une visite privée.
SA_0122,2025-06-20,43,JA,medium,Art Collectorはオートクチュールに興味を持っています。銀行振込待ち.
SA_0123,2025-04-20,50,EN,medium,Art Collector requested viewing for Bespoke Trunk. Value approx $67k. Corporate gifting.
SA_0124,2025-04-04,52,NL,medium,Tech Founder geïnteresseerd in Op maat gemaakte koffer. Overschrijving in behandeling.
SA_0125,2025-09-03,85,NL,long,Klant (CEO) zoekt Fijne sieraden. Zakelijk cadeau.
SA_0126,2025-09-25,79,PT,long,Real Estate Mogul interessado em Relógio de édition limitée. Comparando con concorrentes.
SA_0127,2026-01-04,68,KO,long,Real Estate Mogul님이 오트쿠튀르에 관심을 보임. 프라이빗 뷰잉 요청.
SA_0128,2025-05-05,79,FR,long,VIP Client a demandé une présentation privée pour Champagne millésimé rare. Cadeau d'entreprise.
SA_0129,2025-06-10,38,RU,medium,VIP Client интересуется От кутюр. Запрошен частный просмотр.
SA_0130,2026-01-20,14,DE,short,Tech Founder bat um eine private Besichtigung für Exotische Handtasche. Benötigt individuelles Monogramm.
SA_0131,2025-11-18,23,RU,short,CEO интересуется Багаж на заказ. Нужна индивидуальная монограмма.
SA_0132,2025-03-14,63,RU,long,Philanthropist запросил частный просмотр Часы ограниченной серии. Корпоративный подарок.
SA_0133,2025-07-10,16,IT,short,CEO ha richiesto una visione privata per Orologio in edizione limitata. Pronto all'acquisto.
SA_0134,2025-01-26,12,NL,short,CEO geïnteresseerd in Op maat gemaakte koffer. Zakelijk cadeau.
SA_0135,2025-01-31,26,NL,short,Tech Founder heeft een privébezichtiging aangevraagd voor Exotische handtas. Follow-up na gala.
SA_0136,2025-07-30,32,NL,medium,CEO heeft een privébezichtiging aangevraagd voor Zeldzame vintage champagne. Heeft aangepast monogram nodig.
SA_0137,2025-06-10,31,RU,medium,Клиент (VIP Client) ищет От кутюр. Запрошен частный просмотр.
SA_0138,2025-05-08,46,PT,medium,Art Collector solicitou una visualização privata per Mala sob medida. Pronto para comprar.
SA_0139,2025-07-18,72,KO,long,VIP Client님이 희귀 빈티지 샴페인에 관심을 보임. 맞춤형 이니셜 필요.
SA_0140,2025-04-26,43,KO,medium,고객(VIP Client)이 오트쿠튀르를 찾고 있음. 구매 준비 완료.
SA_0141,2025-12-23,76,ES,long,Philanthropist interesado en Reloj de edición limitada. Seguimiento tras la gala.
SA_0142,2025-05-30,51,PT,medium,Real Estate Mogul interessado em Relógio de edição limitée. Acompanhamento après la gala.
SA_0143,2025-02-18,50,DE,medium,Kunde (Real Estate Mogul) sucht Maßgefertigter Koffer. Vergleich mit Wettbewerbern.
SA_0144,2025-12-29,62,PT,long,Cliente (Philanthropist) procura Champanhe vintage raro. Acompanhamento após a gala.
SA_0145,2025-01-16,38,RU,medium,Клиент (Tech Founder) ищет Ювелирные изделия. Запрошен частный просмотр.
SA_0146,2025-03-13,81,KO,long,고객(Real Estate Mogul)이 맞춤형 트렁크를 찾고 있음. 맞춤형 이니셜 필요.
SA_0147,2025-07-18,39,AR,medium,CEO طلب عرضًا خاصًا لـ مجوهرات فاخرة. طلب عرضًا خاصًا.
SA_0148,2025-12-23,42,ZH,medium,Art Collector要求私下查看稀有年份香槟。电汇待定.
SA_0149,2025-11-26,41,NL,medium,Klant (Art Collector) zoekt Zeldzame vintage champagne. Vergelijken met concurrenten.
SA_0150,2025-07-31,69,JA,long,Philanthropistは希少なヴィンテージシャンパンに興味を持っています。購入の準備ができています。
SA_0151,2025-12-21,42,RU,medium,VIP Client запросил частный просмотр Часы ограниченной серии. Сравнение с конкурентами.
SA_0152,2025-07-18,77,AR,long,العميل (CEO) يبحث عن صندوق مخصص. مقارنة مع المنافسين.
SA_0153,2025-12-02,81,EN,long,Real Estate Mogul interested in Bespoke Trunk. Needs custom monogram.
SA_0154,2025-12-26,22,ES,short,Cliente (Philanthropist) busca Alta Joyería. Needs custom monogram.
SA_0155,2025-11-03,81,KO,long,고객(Art Collector)이 파인 주얼리를 찾고 있음. 구매 준비 완료.
SA_0156,2025-03-07,80,DE,long,Kunde (Philanthropist) sucht Limitierte Uhr. Nachbereitung nach der Gala.
SA_0157,2025-05-02,13,JA,short,Art Collectorは限定版ウォッチのプライベートビューイングを依頼しました。ガラ後のフォローアップ.
SA_0158,2025-08-23,84,DE,long,Art Collector interessert an Seltener Jahrgangschampagner. Kaufbereit.
SA_0159,2025-05-27,68,EN,long,Client (Philanthropist) looking at Fine Jewelry. Ready to buy.
SA_0160,2025-08-31,84,DE,long,Art Collector interessert an Maßgefertigter Koffer. Vergleich mit Wettbewerbern.
SA_0161,2025-02-19,73,ZH,long,VIP Client要求私下查看珍稀皮手袋。正在与竞争对手比较.
SA_0162,2025-11-22,54,AR,medium,العميل (VC) يبحث عن صندوق مخصص. جاهز للشراء.
SA_0163,2025-07-31,51,AR,medium,Philanthropist مهتم بـ ساعة إصدار محدود. مقارنة مع المنافسين.
SA_0164,2025-04-29,87,JA,long,VCは限定版ウォッチ의 プライベートビューイングを依頼しました。ガラ後のフォローアップ.
SA_0165,2025-01-07,53,PT,medium,Philanthropist solicitou uma visualização privada para Relógio de edizione limitata. Precisa de monogramma personalizzato.
SA_0166,2025-11-28,77,DE,long,Real Estate Mogul interessiert an Exotische Handtasche. Private Besichtigung angefordert.
SA_0167,2025-05-11,12,NL,short,Philanthropist heeft een privébezichtiging aangevraagd for Fijne sieraden. Follow-up na gala.
SA_0168,2025-02-14,69,DE,long,VIP Client bat um eine private Besichtigung for Maßgefertigter Koffer. Überweisung ausstehend.
SA_0169,2025-09-05,80,AR,long,VC طلب عرضًا خاصًا لـ مجوهرات فاخرة. متابعة بعد الحفل.
SA_0170,2025-02-06,72,ES,long,Cliente (CEO) busca Reloj de edición limitada. Necesita monograma personalizado.
SA_0171,2025-08-23,72,RU,long,CEO запросил частный просмотр От кутюр. Последующее наблюдение после гала-концерта.
SA_0172,2026-01-10,29,JA,short,Art Collectorは希少なヴィンテージシャンパンのプライベートビューイングを依頼しました。法人向けギフト.
SA_0173,2025-09-08,35,FR,medium,Tech Founder intéressé par Champagne millésimé rare. Compare avec la concurrence.
SA_0174,2025-09-19,47,EN,medium,Real Estate Mogul requested viewing for Exotic Skin Handbag. Value approx $267k. Follow-up after gala.
SA_0175,2025-03-31,21,DE,short,VIP Client interessiert an Haute Couture. Private Besichtigung angefordert.
SA_0176,2025-09-16,44,JA,medium,クライアント（Real Estate Mogul）が高級ジュエリーを探しています。銀行振込待ち.
SA_0177,2025-07-22,18,PT,short,Cliente (Tech Founder) procura Bolsa de pele exótica. Solicitou visualização privada.
SA_0178,2026-01-18,35,ZH,medium,客户（Art Collector）正在寻找稀有年份香槟。公司送礼。
SA_0179,2025-02-01,29,RU,short,Philanthropist интересуется Сумка из экзотической кожи. Корпоративный подарок.
SA_0180,2025-07-21,33,KO,medium,고객(CEO)이 한정판 시계를 찾고 있음. 송금 대기 중.
SA_0181,2025-06-25,90,AR,long,VIP Client مهتم بـ هوت كوتور. الحوالة معلقة.
SA_0182,2025-02-02,61,ES,long,VIP Client interesado en Alta Joyería. Solicitó vista privada.
SA_0183,2025-10-01,41,NL,medium,VC geïnteresseerd in Zeldzame vintage champagne. Zakelijk cadeau.
SA_0184,2025-09-12,63,IT,long,VC interessato a Alta Gioielleria. Confronto con la concorrenza.
SA_0185,2025-09-11,76,ES,long,Tech Founder interesado en Baúl a medida. Listo para comprar.
SA_0186,2025-11-22,59,ES,medium,Art Collector solicitó una vista privada para Alta Costura. Transferencia pendiente.
SA_0187,2025-08-22,76,EN,long,Art Collector requested viewing for Limited Edition Watch. Value approx $498k. Needs custom monogram.
SA_0188,2025-11-25,79,PT,long,Cliente (VC) procura Relógio de edição limitada. Presente corporativo.
SA_0189,2025-01-27,81,ZH,long,Philanthropist要求私下查看稀有年份香槟。电汇待定.
SA_0190,2025-12-27,33,NL,medium,VC geïnteresseerd in Gelimiteerd horloge. Heeft aangepast monogram nodig.
SA_0191,2025-09-12,11,DE,short,CEO bat um eine private Besichtigung for Limitierte Uhr. Nachbereitung nach der Gala.
SA_0192,2025-12-02,12,FR,short,Art Collector a demandé une présentation privée pour Montre édition limitada. Suivi après le gala.
SA_0193,2025-08-17,11,DE,short,Kunde (Art Collector) sucht Seltener Jahrgangschampagner. Kaufbereit.
SA_0194,2025-06-21,50,KO,medium,VC님이 파인 주얼리에 관심을 보임. 프라이빗 뷰잉 요청.
SA_0195,2025-04-21,83,PT,long,VIP Client solicitou uma visualização privada para Relógio de edição limitada. Pronto para comprar.
SA_0196,2025-04-02,69,IT,long,Cliente (Tech Founder) cerca Alta Gioielleria. Bonifico in sospeso.
SA_0197,2025-03-13,67,KO,long,VC님이 한정판 시계에 관심을 보임. 경쟁사와 비교 중.
SA_0198,2025-02-28,53,ES,medium,Cliente (Real Estate Mogul) busca Alta Costura. Regalo corporativo.
SA_0199,2025-05-11,79,EN,long,Tech Founder requested viewing for Exotic Skin Handbag. Value approx $52k. Follow-up after gala.
SA_0200,2025-12-27,17,ES,short,Real Estate Mogul solicitó una vista privée pour Reloj de edizione limitata. Seguimiento tras la gala.
SA_0201,2025-11-15,38,NL,medium,Philanthropist heeft een privébezichtiging aangevraagd for Op maat gemaakte koffer. Follow-up na gala.
SA_0202,2025-07-04,44,ES,medium,Tech Founder interesado en Baúl a medida. Solicitó vista privada.
SA_0203,2025-12-22,50,ZH,medium,VC要求私下查看珍稀皮手袋。需要定制缩写.
SA_0204,2025-03-03,14,EN,short,VIP Client interested in Haute Couture. Needs custom monogram.
SA_0205,2025-09-17,63,NL,long,Real Estate Mogul heeft een privébezichtiging aangevraagd for Exotische handtas. Zakelijk cadeau.
SA_0206,2025-10-06,89,FR,long,VIP Client intéressé par Haute Couture. A demandé une visite privée.
SA_0207,2025-10-30,12,FR,short,Le client (Philanthropist) recherche Haute Couture. Suivi après le gala.
SA_0208,2025-10-30,14,IT,short,Tech Founder interessato a Baule su misura. Follow-up dopo il gala.
SA_0209,2025-01-05,65,NL,long,Tech Founder heeft een privébezichtiging aangevraagd for Exotische handtas. Vergelijken met concurrenten.
SA_0210,2025-10-19,79,RU,long,Tech Founder интересуется Ювелирные изделия. Готов к покупке.
SA_0211,2025-05-18,89,AR,long,VIP Client طلب عرضًا خاصًا لـ مجوهرات فاخرة. يحتاج إلى مونوغرام مخصص.
SA_0212,2025-05-04,23,RU,short,Клиент (Philanthropist) ищет Багаж на заказ. Запрошен частный просмотр.
SA_0213,2025-05-03,23,DE,short,Kunde (Real Estate Mogul) sucht Seltener Jahrgangschampagner. Vergleich mit Wettbewerbern.
SA_0214,2025-10-14,33,ES,medium,VIP Client solicitó una vista privada para Alta Costura. Regalo corporativo.
SA_0215,2025-11-22,32,RU,medium,Клиент (Philanthropist) ищет От кутюр. Последующее наблюдение после гала-концерта.
SA_0216,2025-07-15,51,DE,medium,Kunde (Real Estate Mogul) sucht Limitierte Uhr. Firmengeschenk.
SA_0217,2025-08-29,78,ES,long,Cliente (Real Estate Mogul) busca Bolso de piel exótica. Listo para comprar.
SA_0218,2025-10-13,70,IT,long,Cliente (Art Collector) cerca Orologio in edizione limitada. Bonifico in sospeso.
SA_0219,2025-09-07,82,PT,long,Cliente (Art Collector) procura Alta Joalharia. Solicitou visualização privada.
SA_0220,2025-10-22,37,ZH,medium,客户（CEO）正在寻找稀有年份香槟。准备购买.
SA_0221,2025-06-14,50,NL,medium,Art Collector geïnteresseerd in Exotische handtas. Zakelijk cadeau.
SA_0222,2025-06-04,65,KO,long,고객(VC)이 오트쿠튀르를 찾고 있음. 구매 준비 완료.
SA_0223,2025-03-08,44,EN,medium,Philanthropist requested viewing for Limited Edition Watch. Value approx $150k. Ready to buy.
SA_0224,2025-08-15,43,DE,medium,CEO interessato a Feiner Schmuck. Private Besichtigung angefordert.
SA_0225,2025-12-30,17,NL,short,VC heeft een privébezichtiging aangevraagd for Exotische handtas. Heeft aangepast monogram nodig.
SA_0226,2025-12-24,82,JA,long,Philanthropistはオートクチュールに興味を持っています。プライベートビューイングを依頼.
SA_0227,2025-07-11,42,ZH,medium,VC对高级定制感兴趣。准备购买.
SA_0228,2025-08-06,86,EN,long,Client (Philanthropist) looking at Limited Edition Watch. Ready to buy.
SA_0229,2025-08-06,26,EN,short,Client (Tech Founder) looking at Bespoke Trunk. Follow-up after gala.
SA_0230,2025-03-09,76,IT,long,Philanthropist ha richiesto una visione privata per Alta Gioielleria. Confronto con la concorrenza.
SA_0231,2025-07-02,15,RU,short,Philanthropist интересуется От кутюр. Запрошен частный просмотр.
SA_0232,2025-09-28,36,EN,medium,VC interested in Exotic Skin Handbag. Requested private viewing.
SA_0233,2025-07-15,39,NL,medium,Real Estate Mogul geïnteresseerd in Fijne sieraden. Overschrijving in behandeling.
SA_0234,2025-04-06,45,RU,medium,Tech Founder интересуется Багаж на заказ. Готов к покупке.
SA_0235,2025-06-03,19,EN,short,Philanthropist interested in Exotic Skin Handbag. Corporate gifting.
SA_0236,2025-05-17,57,FR,medium,Le client (VIP Client) recherche Sac en peau exotique. Cadeau d'entreprise.
SA_0237,2025-09-23,68,RU,long,Tech Founder запросил частный просмотр Часы ограниченной серии. Готов к покупке.
SA_0238,2025-12-26,21,EN,short,VIP Client interested in Bespoke Trunk. Follow-up after gala.
SA_0239,2025-12-25,46,AR,medium,العميل (VIP Client) يبحث عن حقيبة جلد غريب. جاهز للشراء.
SA_0240,2025-10-19,27,DE,short,Tech Founder bat um eine private Besichtigung for Seltener Jahrgangschampagner. Nachbereitung nach der Gala.
SA_0241,2025-10-06,83,DE,long,CEO interessato an Limitierte Uhr. Private Besichtigung angefordert.
SA_0242,2025-05-12,31,IT,medium,VIP Client ha richiesto una visione privata per Champagne d'annata raro. Ha richiesto una visione privata.
SA_0243,2025-04-22,29,PT,short,CEO solicitou uma visualização privata per Relógio de edizione limitata. Solicitou visualização privata.
SA_0244,2026-01-01,70,PT,long,Art Collector solicitou uma visualização privata per Mala sob medida. Transferência pendente.
SA_0245,2025-03-04,67,NL,long,CEO heeft een privébezichtiging aangevraagd for Haute Couture. Klaar om te kopen.
SA_0246,2025-12-21,66,NL,long,Klant (Real Estate Mogul) zoekt Op maat gemaakte koffer. Vergelijken met concurrenten.
SA_0247,2025-07-21,66,AR,long,Art Collector طلب عرضًا خاصًا لـ ساعة إصدار محدود. يحتاج إلى مونوغرام مخصص.
SA_0248,2025-07-16,48,RU,medium,Клиент (VC) ищет Сумка из экзотической кожи. Корпоративный подарок.
SA_0249,2025-08-02,21,JA,short,CEOはエキゾチックレザーバッグに興味を持っています。プライベートビューイングを依頼.
SA_0250,2025-06-21,79,RU,long,CEO интересуется Сумка из экзотической кожи. Перевод в ожидании.
SA_0251,2025-08-03,35,FR,medium,Le client (Tech Founder) recherche Champagne millésimé rare. A demandé une visite privée.
SA_0252,2025-09-11,35,EN,medium,Tech Founder requested viewing for Haute Couture. Value approx $111k. Ready to buy.
SA_0253,2025-02-02,15,ES,short,Art Collector solicitó una vista privada para Baúl a medida. Solicitó vista privada.
